//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-7-2021
//--  Time: 11:31
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:fileBrowseGenerator
//-- Table Identifier:002//--    Generated from user inc file 
//--    Useing user File:
//-- /home/nhol .... ects/Speeduino Miata/inc/AEM 30-3130.inc
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	8.43	84 	0.000
1	8.43	84 	0.005
2	8.43	84 	0.010
3	8.43	84 	0.015
4	8.43	84 	0.020
5	8.43	84 	0.024
6	8.43	84 	0.029
7	8.43	84 	0.034
8	8.43	84 	0.039
9	8.43	84 	0.044
10	8.43	84 	0.049
11	8.43	84 	0.054
12	8.43	84 	0.059
13	8.43	84 	0.063
14	8.43	84 	0.068
15	8.43	84 	0.073
16	8.43	84 	0.078
17	8.43	84 	0.083
18	8.43	84 	0.088
19	8.43	84 	0.093
20	8.43	84 	0.098
21	8.43	84 	0.103
22	8.43	84 	0.107
23	8.43	84 	0.112
24	8.43	84 	0.117
25	8.43	84 	0.122
26	8.43	84 	0.127
27	8.43	84 	0.132
28	8.43	84 	0.137
29	8.43	84 	0.142
30	8.43	84 	0.146
31	8.43	84 	0.151
32	8.43	84 	0.156
33	8.43	84 	0.161
34	8.43	84 	0.166
35	8.43	84 	0.171
36	8.43	84 	0.176
37	8.43	84 	0.181
38	8.43	84 	0.186
39	8.43	84 	0.190
40	8.43	84 	0.195
41	8.43	84 	0.200
42	8.43	84 	0.205
43	8.43	84 	0.210
44	8.43	84 	0.215
45	8.43	84 	0.220
46	8.43	84 	0.225
47	8.43	84 	0.229
48	8.43	84 	0.234
49	8.43	84 	0.239
50	8.43	84 	0.244
51	8.43	84 	0.249
52	8.43	84 	0.254
53	8.43	84 	0.259
54	8.43	84 	0.264
55	8.43	84 	0.269
56	8.43	84 	0.273
57	8.43	84 	0.278
58	8.43	84 	0.283
59	8.43	84 	0.288
60	8.43	84 	0.293
61	8.43	84 	0.298
62	8.43	84 	0.303
63	8.43	84 	0.308
64	8.43	84 	0.313
65	8.43	84 	0.317
66	8.43	84 	0.322
67	8.43	84 	0.327
68	8.43	84 	0.332
69	8.43	84 	0.337
70	8.43	84 	0.342
71	8.43	84 	0.347
72	8.43	84 	0.352
73	8.43	84 	0.356
74	8.43	84 	0.361
75	8.43	84 	0.366
76	8.43	84 	0.371
77	8.43	84 	0.376
78	8.43	84 	0.381
79	8.43	84 	0.386
80	8.43	84 	0.391
81	8.43	84 	0.396
82	8.43	84 	0.400
83	8.43	84 	0.405
84	8.43	84 	0.410
85	8.43	84 	0.415
86	8.43	84 	0.420
87	8.43	84 	0.425
88	8.43	84 	0.430
89	8.43	84 	0.435
90	8.43	84 	0.439
91	8.43	84 	0.444
92	8.43	84 	0.449
93	8.43	84 	0.454
94	8.43	84 	0.459
95	8.43	84 	0.464
96	8.43	84 	0.469
97	8.44	84 	0.474
98	8.45	85 	0.479
99	8.46	85 	0.483
100	8.47	85 	0.488
101	8.49	85 	0.493
102	8.50	85 	0.498
103	8.51	85 	0.503
104	8.52	85 	0.508
105	8.53	85 	0.513
106	8.54	85 	0.518
107	8.56	86 	0.522
108	8.57	86 	0.527
109	8.58	86 	0.532
110	8.59	86 	0.537
111	8.60	86 	0.542
112	8.61	86 	0.547
113	8.63	86 	0.552
114	8.64	86 	0.557
115	8.65	86 	0.562
116	8.66	87 	0.566
117	8.67	87 	0.571
118	8.68	87 	0.576
119	8.70	87 	0.581
120	8.71	87 	0.586
121	8.72	87 	0.591
122	8.73	87 	0.596
123	8.74	87 	0.601
124	8.76	88 	0.605
125	8.77	88 	0.610
126	8.78	88 	0.615
127	8.79	88 	0.620
128	8.80	88 	0.625
129	8.81	88 	0.630
130	8.83	88 	0.635
131	8.84	88 	0.640
132	8.85	88 	0.645
133	8.86	89 	0.649
134	8.87	89 	0.654
135	8.88	89 	0.659
136	8.89	89 	0.664
137	8.91	89 	0.669
138	8.92	89 	0.674
139	8.93	89 	0.679
140	8.94	89 	0.684
141	8.95	90 	0.688
142	8.96	90 	0.693
143	8.98	90 	0.698
144	8.99	90 	0.703
145	9.00	90 	0.708
146	9.01	90 	0.713
147	9.02	90 	0.718
148	9.03	90 	0.723
149	9.05	90 	0.728
150	9.06	91 	0.732
151	9.07	91 	0.737
152	9.08	91 	0.742
153	9.09	91 	0.747
154	9.10	91 	0.752
155	9.11	91 	0.757
156	9.13	91 	0.762
157	9.14	91 	0.767
158	9.15	91 	0.771
159	9.16	92 	0.776
160	9.17	92 	0.781
161	9.18	92 	0.786
162	9.20	92 	0.791
163	9.21	92 	0.796
164	9.22	92 	0.801
165	9.23	92 	0.806
166	9.24	92 	0.811
167	9.25	93 	0.815
168	9.27	93 	0.820
169	9.28	93 	0.825
170	9.29	93 	0.830
171	9.30	93 	0.835
172	9.31	93 	0.840
173	9.32	93 	0.845
174	9.34	93 	0.850
175	9.35	93 	0.854
176	9.36	94 	0.859
177	9.37	94 	0.864
178	9.38	94 	0.869
179	9.39	94 	0.874
180	9.40	94 	0.879
181	9.42	94 	0.884
182	9.43	94 	0.889
183	9.44	94 	0.894
184	9.45	95 	0.898
185	9.46	95 	0.903
186	9.47	95 	0.908
187	9.49	95 	0.913
188	9.50	95 	0.918
189	9.51	95 	0.923
190	9.52	95 	0.928
191	9.53	95 	0.933
192	9.54	95 	0.938
193	9.56	96 	0.942
194	9.57	96 	0.947
195	9.58	96 	0.952
196	9.59	96 	0.957
197	9.60	96 	0.962
198	9.61	96 	0.967
199	9.62	96 	0.972
200	9.64	96 	0.977
201	9.65	96 	0.981
202	9.66	97 	0.986
203	9.67	97 	0.991
