//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-7-2021
//--  Time: 11:30
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 100700.0 Ohms 
//--    Temperature2: 30.0(C), 	Resistance 2: 2238.0 Ohms 
//--    Temperature3: 99.0(C), 	Resistance 3: 177.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	257.50	2575 	0.156
2	211.98	2120 	0.313
3	186.88	1869 	0.469
4	169.47	1695 	0.625
5	156.05	1561 	0.781
6	145.05	1451 	0.938
7	135.65	1357 	1.094
8	127.38	1274 	1.250
9	119.93	1199 	1.406
10	113.11	1131 	1.563
11	106.76	1068 	1.719
12	100.78	1008 	1.875
13	95.08	951 	2.031
14	89.60	896 	2.188
15	84.28	843 	2.344
16	79.06	791 	2.500
17	73.91	739 	2.656
18	68.78	688 	2.813
19	63.62	636 	2.969
20	58.38	584 	3.125
21	53.02	530 	3.281
22	47.47	475 	3.438
23	41.65	416 	3.594
24	35.45	354 	3.750
25	28.73	287 	3.906
26	21.27	213 	4.063
27	12.72	127 	4.219
28	2.44	24 	4.375
29	-10.99	-110 	4.531
30	-31.86	-319 	4.688
31	70.00	700 	4.844
